Date,demand,lch,holiday_Black friday,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,"holiday_Martin Luther King, Jr. Day",holiday_Memorial Day,holiday_New Year's Day,holiday_Thanksgiving,holiday_Veterans Day,holiday_Washington's Birthday
2016-02-01,17647,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-02,17185,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-03,21208,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-04,22393,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-05,21272,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-06,20573,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-07,19277,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-08,15110,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-09,24016,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-10,17322,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-11,21068,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-12,20023,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-13,18853,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-14,22820,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15,23191,0,0,0,0,0,0,0,0,0,0,0,1
2016-02-16,21191,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-17,22772,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-18,24030,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-19,17978,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-20,22720,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-21,17292,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22,15818,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,18666,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-24,24483,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-25,24791,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-26,23795,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-27,19413,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-28,22287,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,23502,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,17449,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-02,16066,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-03,20801,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-04,18872,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-05,17356,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-06,16039,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07,23440,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-08,18433,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-09,24905,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-10,21814,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,184701,1,0,0,0,0,0,0,0,0,0,0,0
2016-03-12,46505,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,26509,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14,29126,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-15,30040,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-16,29511,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-17,28257,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-18,36637,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-19,32400,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-20,19310,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21,21676,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-22,20097,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-23,19513,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-24,23125,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-25,29962,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-26,27783,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-27,2169,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28,26180,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-29,23168,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-30,30322,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,37157,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,31045,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-02,30615,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-03,16679,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-04,18466,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-05,18568,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-06,19202,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-07,17464,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-08,19282,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-09,19449,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-10,10109,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11,10871,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-12,16162,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-13,20079,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-14,18904,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-15,22654,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-16,17427,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-17,8848,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18,11699,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-19,13712,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-20,17398,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-21,17646,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-22,19775,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-23,17197,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-24,10299,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-25,12199,0,0,0,0,0,0,0,0,0,0,0,0
